Home,Away,League,Season,Date,Gols_H,Gols_A,FTR,Placar
Club Brugge,Mechelen,Jupiler League,2024/2025,2024-07-26,1.0,1.0,D,1.0 x 1.0
Beerschot VA,Oud-Heverlee Leuven,Jupiler League,2024/2025,2024-07-27,0.0,0.0,D,0.0 x 0.0
Dender,St. Gilloise,Jupiler League,2024/2025,2024-07-27,0.0,0.0,D,0.0 x 0.0
Anderlecht,St Truiden,Jupiler League,2024/2025,2024-07-27,1.0,0.0,H,1.0 x 0.0
Charleroi,Antwerp,Jupiler League,2024/2025,2024-07-28,0.0,1.0,A,0.0 x 1.0
Genk,Standard,Jupiler League,2024/2025,2024-07-28,0.0,0.0,D,0.0 x 0.0
Kortrijk,Gent,Jupiler League,2024/2025,2024-07-28,0.0,1.0,A,0.0 x 1.0
Westerlo,Cercle Brugge,Jupiler League,2024/2025,2024-07-28,3.0,0.0,H,3.0 x 0.0
FC Koln,Hamburg,Bundesliga 2,2024/2025,2024-08-02,1.0,2.0,A,1.0 x 2.0
Falkirk,Queens Park,Championship,2024/2025,2024-08-02,2.0,1.0,H,2.0 x 1.0
St. Gilloise,Beerschot VA,Jupiler League,2024/2025,2024-08-02,3.0,1.0,H,3.0 x 1.0
Hertha,Paderborn,Bundesliga 2,2024/2025,2024-08-03,1.0,2.0,A,1.0 x 2.0
Stenhousemuir,Arbroath,League One,2024/2025,2024-08-03,2.0,1.0,H,2.0 x 1.0
Motherwell,Ross County,Premiership,2024/2025,2024-08-03,0.0,0.0,D,0.0 x 0.0
Bonnyrigg Rose,Peterhead,League Two,2024/2025,2024-08-03,0.0,1.0,A,0.0 x 1.0
Edinburgh City,Stirling,League Two,2024/2025,2024-08-03,1.0,2.0,A,1.0 x 2.0
Elgin,East Fife,League Two,2024/2025,2024-08-03,4.0,2.0,H,4.0 x 2.0
Forfar,Clyde,League Two,2024/2025,2024-08-03,0.0,0.0,D,0.0 x 0.0
Stranraer,Spartans,League Two,2024/2025,2024-08-03,2.0,2.0,D,2.0 x 2.0
Hannover,Regensburg,Bundesliga 2,2024/2025,2024-08-03,2.0,0.0,H,2.0 x 0.0
Alloa,Queen of Sth,League One,2024/2025,2024-08-03,0.0,0.0,D,0.0 x 0.0
Karlsruhe,Nurnberg,Bundesliga 2,2024/2025,2024-08-03,3.0,2.0,H,3.0 x 2.0
Magdeburg,Elversberg,Bundesliga 2,2024/2025,2024-08-03,0.0,0.0,D,0.0 x 0.0
Schalke 04,Braunschweig,Bundesliga 2,2024/2025,2024-08-03,5.0,1.0,H,5.0 x 1.0
Hearts,Rangers,Premiership,2024/2025,2024-08-03,0.0,0.0,D,0.0 x 0.0
Montrose,Kelty Hearts,League One,2024/2025,2024-08-03,1.0,1.0,D,1.0 x 1.0
Inverness C,Dumbarton,League One,2024/2025,2024-08-03,1.0,1.0,D,1.0 x 1.0
Mechelen,Westerlo,Jupiler League,2024/2025,2024-08-03,2.0,4.0,A,2.0 x 4.0
Partick,Morton,Championship,2024/2025,2024-08-03,0.0,0.0,D,0.0 x 0.0
Livingston,Dunfermline,Championship,2024/2025,2024-08-03,2.0,0.0,H,2.0 x 0.0
Hamilton,Ayr,Championship,2024/2025,2024-08-03,0.0,2.0,A,0.0 x 2.0
Airdrie Utd,Raith Rvs,Championship,2024/2025,2024-08-03,1.0,0.0,H,1.0 x 0.0
St Truiden,Charleroi,Jupiler League,2024/2025,2024-08-03,1.0,4.0,A,1.0 x 4.0
Cove Rangers,Annan Athletic,League One,2024/2025,2024-08-03,1.0,3.0,A,1.0 x 3.0
Oud-Heverlee Leuven,Genk,Jupiler League,2024/2025,2024-08-03,3.0,1.0,H,3.0 x 1.0
Antwerp,Anderlecht,Jupiler League,2024/2025,2024-08-04,1.0,2.0,A,1.0 x 2.0
Darmstadt,Fortuna Dusseldorf,Bundesliga 2,2024/2025,2024-08-04,0.0,2.0,A,0.0 x 2.0
Celtic,Kilmarnock,Premiership,2024/2025,2024-08-04,4.0,0.0,H,4.0 x 0.0
St Mirren,Hibernian,Premiership,2024/2025,2024-08-04,3.0,0.0,H,3.0 x 0.0
Dundee United,Dundee,Premiership,2024/2025,2024-08-04,2.0,2.0,D,2.0 x 2.0
Greuther Furth,Preußen Münster,Bundesliga 2,2024/2025,2024-08-04,3.0,1.0,H,3.0 x 1.0
Gent,Dender,Jupiler League,2024/2025,2024-08-04,1.0,2.0,A,1.0 x 2.0
Standard,Club Brugge,Jupiler League,2024/2025,2024-08-04,1.0,0.0,H,1.0 x 0.0
Cercle Brugge,Kortrijk,Jupiler League,2024/2025,2024-08-04,1.0,2.0,A,1.0 x 2.0
Ulm,Kaiserslautern,Bundesliga 2,2024/2025,2024-08-04,1.0,2.0,A,1.0 x 2.0
St Johnstone,Aberdeen,Premiership,2024/2025,2024-08-05,1.0,2.0,A,1.0 x 2.0
Regensburg,Ulm,Bundesliga 2,2024/2025,2024-08-09,1.0,0.0,H,1.0 x 0.0
Kaiserslautern,Greuther Furth,Bundesliga 2,2024/2025,2024-08-09,2.0,2.0,D,2.0 x 2.0
Ayr,Airdrie Utd,Championship,2024/2025,2024-08-09,5.0,0.0,H,5.0 x 0.0
Queens Park,Livingston,Championship,2024/2025,2024-08-09,1.0,1.0,D,1.0 x 1.0
Galatasaray,Hatayspor,Super Lig,2024/2025,2024-08-09,2.0,1.0,H,2.0 x 1.0
Chesterfield,Swindon,EFL League Two,2024/2025,2024-08-09,1.0,1.0,D,1.0 x 1.0
Barnsley,Mansfield,EFL League One,2024/2025,2024-08-09,1.0,2.0,A,1.0 x 2.0
Blackburn,Derby,EFL Championship,2024/2025,2024-08-09,4.0,2.0,H,4.0 x 2.0
Groningen,NAC Breda,Eredivisie,2024/2025,2024-08-09,4.0,1.0,H,4.0 x 1.0
Sp Lisbon,Rio Ave,Primeira Liga,2024/2025,2024-08-09,3.0,1.0,H,3.0 x 1.0
Standard,Mechelen,Jupiler League,2024/2025,2024-08-09,0.0,0.0,D,0.0 x 0.0
Preston,Sheffield United,EFL Championship,2024/2025,2024-08-09,0.0,2.0,A,0.0 x 2.0
Feyenoord,Willem II,Eredivisie,2024/2025,2024-08-10,1.0,1.0,D,1.0 x 1.0
Arbroath,Montrose,League One,2024/2025,2024-08-10,0.0,0.0,D,0.0 x 0.0
Annan Athletic,Inverness C,League One,2024/2025,2024-08-10,1.0,0.0,H,1.0 x 0.0
Nijmegen,Twente,Eredivisie,2024/2025,2024-08-10,1.0,2.0,A,1.0 x 2.0
Stirling,Elgin,League Two,2024/2025,2024-08-10,0.0,1.0,A,0.0 x 1.0
Porto,Gil Vicente,Primeira Liga,2024/2025,2024-08-10,3.0,0.0,H,3.0 x 0.0
Casa Pia,Boavista,Primeira Liga,2024/2025,2024-08-10,0.0,1.0,A,0.0 x 1.0
AVS,Nacional,Primeira Liga,2024/2025,2024-08-10,1.0,1.0,D,1.0 x 1.0
Dender,Kortrijk,Jupiler League,2024/2025,2024-08-10,4.0,1.0,H,4.0 x 1.0
Westerlo,St. Gilloise,Jupiler League,2024/2025,2024-08-10,4.0,3.0,H,4.0 x 3.0
Anderlecht,Oud-Heverlee Leuven,Jupiler League,2024/2025,2024-08-10,1.0,1.0,D,1.0 x 1.0
Almere City,AZ Alkmaar,Eredivisie,2024/2025,2024-08-10,0.0,1.0,A,0.0 x 1.0
PSV Eindhoven,Waalwijk,Eredivisie,2024/2025,2024-08-10,5.0,1.0,H,5.0 x 1.0
Cardiff,Sunderland,EFL Championship,2024/2025,2024-08-10,0.0,2.0,A,0.0 x 2.0
Dumbarton,Alloa,League One,2024/2025,2024-08-10,3.0,3.0,D,3.0 x 3.0
Stoke,Coventry,EFL Championship,2024/2025,2024-08-10,1.0,0.0,H,1.0 x 0.0
Kasimpasa,Konyaspor,Super Lig,2024/2025,2024-08-10,2.0,3.0,A,2.0 x 3.0
Antalyaspor,Goztep,Super Lig,2024/2025,2024-08-10,0.0,0.0,D,0.0 x 0.0
Fenerbahce,Ad. Demirspor,Super Lig,2024/2025,2024-08-10,1.0,0.0,H,1.0 x 0.0
Spartans,Bonnyrigg Rose,League Two,2024/2025,2024-08-10,2.0,0.0,H,2.0 x 0.0
Peterhead,Forfar,League Two,2024/2025,2024-08-10,2.0,1.0,H,2.0 x 1.0
East Fife,Edinburgh City,League Two,2024/2025,2024-08-10,2.0,0.0,H,2.0 x 0.0
Clyde,Stranraer,League Two,2024/2025,2024-08-10,1.0,0.0,H,1.0 x 0.0
QPR,West Brom,EFL Championship,2024/2025,2024-08-10,1.0,3.0,A,1.0 x 3.0
Oxford,Norwich,EFL Championship,2024/2025,2024-08-10,2.0,0.0,H,2.0 x 0.0
Millwall,Watford,EFL Championship,2024/2025,2024-08-10,2.0,3.0,A,2.0 x 3.0
Middlesbrough,Swansea,EFL Championship,2024/2025,2024-08-10,1.0,0.0,H,1.0 x 0.0
Leeds,Portsmouth,EFL Championship,2024/2025,2024-08-10,3.0,3.0,D,3.0 x 3.0
Queen of Sth,Cove Rangers,League One,2024/2025,2024-08-10,2.0,1.0,H,2.0 x 1.0
Kelty Hearts,Stenhousemuir,League One,2024/2025,2024-08-10,2.0,0.0,H,2.0 x 0.0
Hull,Bristol City,EFL Championship,2024/2025,2024-08-10,1.0,1.0,D,1.0 x 1.0
Raith Rvs,Partick,Championship,2024/2025,2024-08-10,1.0,0.0,H,1.0 x 0.0
Dunfermline,Falkirk,Championship,2024/2025,2024-08-10,0.0,2.0,A,0.0 x 2.0
Exeter,Rotherham,EFL League One,2024/2025,2024-08-10,1.0,0.0,H,1.0 x 0.0
Hamburg,Hertha,Bundesliga 2,2024/2025,2024-08-10,1.0,1.0,D,1.0 x 1.0
Nurnberg,Schalke 04,Bundesliga 2,2024/2025,2024-08-10,3.0,1.0,H,3.0 x 1.0
Fortuna Dusseldorf,Karlsruhe,Bundesliga 2,2024/2025,2024-08-10,0.0,0.0,D,0.0 x 0.0
Elversberg,FC Koln,Bundesliga 2,2024/2025,2024-08-10,2.0,2.0,D,2.0 x 2.0
Birmingham,Reading,EFL League One,2024/2025,2024-08-10,1.0,1.0,D,1.0 x 1.0
Harrogate,Bromley,EFL League Two,2024/2025,2024-08-10,0.0,2.0,A,0.0 x 2.0
Yeovil,Hartlepool,National League,2024/2025,2024-08-10,0.0,1.0,A,0.0 x 1.0
Bristol Rvs,Northampton,EFL League One,2024/2025,2024-08-10,1.0,0.0,H,1.0 x 0.0
Southend,York,National League,2024/2025,2024-08-10,1.0,1.0,D,1.0 x 1.0
Burton,Lincoln,EFL League One,2024/2025,2024-08-10,2.0,3.0,A,2.0 x 3.0
Leyton Orient,Bolton,EFL League One,2024/2025,2024-08-10,1.0,2.0,A,1.0 x 2.0
Peterboro,Huddersfield,EFL League One,2024/2025,2024-08-10,0.0,2.0,A,0.0 x 2.0
Stevenage,Shrewsbury,EFL League One,2024/2025,2024-08-10,1.0,0.0,H,1.0 x 0.0
Stockport,Cambridge,EFL League One,2024/2025,2024-08-10,2.0,0.0,H,2.0 x 0.0
Wigan,Charlton,EFL League One,2024/2025,2024-08-10,0.0,1.0,A,0.0 x 1.0
Wrexham,Wycombe,EFL League One,2024/2025,2024-08-10,3.0,2.0,H,3.0 x 2.0
Morton,Hamilton,Championship,2024/2025,2024-08-10,0.0,0.0,D,0.0 x 0.0
Milton Keynes Dons,Bradford,EFL League Two,2024/2025,2024-08-10,1.0,2.0,A,1.0 x 2.0
Crawley Town,Blackpool,EFL League One,2024/2025,2024-08-10,2.0,1.0,H,2.0 x 1.0
Oldham,Braintree Town,National League,2024/2025,2024-08-10,3.0,0.0,H,3.0 x 0.0
Tamworth,Sutton,National League,2024/2025,2024-08-10,1.0,1.0,D,1.0 x 1.0
Halifax,Barnet,National League,2024/2025,2024-08-10,2.0,1.0,H,2.0 x 1.0
Salford,Port Vale,EFL League Two,2024/2025,2024-08-10,0.0,2.0,A,0.0 x 2.0
Tranmere,Notts County,EFL League Two,2024/2025,2024-08-10,0.0,0.0,D,0.0 x 0.0
Walsall,Morecambe,EFL League Two,2024/2025,2024-08-10,1.0,0.0,H,1.0 x 0.0
Dundee,Hearts,Premiership,2024/2025,2024-08-10,3.0,1.0,H,3.0 x 1.0
Ross County,Dundee United,Premiership,2024/2025,2024-08-10,1.0,1.0,D,1.0 x 1.0
Rangers,Motherwell,Premiership,2024/2025,2024-08-10,2.0,1.0,H,2.0 x 1.0
Aldershot,Forest Green,National League,2024/2025,2024-08-10,3.0,3.0,D,3.0 x 3.0
Altrincham,Woking,National League,2024/2025,2024-08-10,1.0,0.0,H,1.0 x 0.0
Maidenhead,Eastleigh,National League,2024/2025,2024-08-10,0.0,2.0,A,0.0 x 2.0
Barrow,Crewe,EFL League Two,2024/2025,2024-08-10,1.0,0.0,H,1.0 x 0.0
Boston Utd,Rochdale,National League,2024/2025,2024-08-10,0.0,3.0,A,0.0 x 3.0
Doncaster,Accrington,EFL League Two,2024/2025,2024-08-10,4.0,1.0,H,4.0 x 1.0
Fleetwood Town,Grimsby,EFL League Two,2024/2025,2024-08-10,1.0,0.0,H,1.0 x 0.0
AFC Wimbledon,Colchester,EFL League Two,2024/2025,2024-08-10,4.0,2.0,H,4.0 x 2.0
Gillingham,Carlisle,EFL League Two,2024/2025,2024-08-10,4.0,1.0,H,4.0 x 1.0
Dag and Red,Wealdstone,National League,2024/2025,2024-08-10,2.0,1.0,H,2.0 x 1.0
Fylde,Solihull,National League,2024/2025,2024-08-10,3.0,2.0,H,3.0 x 2.0
Gateshead,Ebbsfleet,National League,2024/2025,2024-08-10,5.0,1.0,H,5.0 x 1.0
Cheltenham,Newport County,EFL League Two,2024/2025,2024-08-10,3.0,2.0,H,3.0 x 2.0
Farense,Moreirense,Primeira Liga,2024/2025,2024-08-11,1.0,2.0,A,1.0 x 2.0
Ajax,Heerenveen,Eredivisie,2024/2025,2024-08-11,1.0,0.0,H,1.0 x 0.0
Go Ahead Eagles,For Sittard,Eredivisie,2024/2025,2024-08-11,0.0,2.0,A,0.0 x 2.0
Utrecht,Zwolle,Eredivisie,2024/2025,2024-08-11,1.0,0.0,H,1.0 x 0.0
Sparta Rotterdam,Heracles,Eredivisie,2024/2025,2024-08-11,0.0,0.0,D,0.0 x 0.0
Cercle Brugge,Beerschot VA,Jupiler League,2024/2025,2024-08-11,4.0,1.0,H,4.0 x 1.0
Estoril,Santa Clara,Primeira Liga,2024/2025,2024-08-11,1.0,4.0,A,1.0 x 4.0
Kilmarnock,St Johnstone,Premiership,2024/2025,2024-08-11,0.0,3.0,A,0.0 x 3.0
Aberdeen,St Mirren,Premiership,2024/2025,2024-08-11,3.0,1.0,H,3.0 x 1.0
Hibernian,Celtic,Premiership,2024/2025,2024-08-11,0.0,2.0,A,0.0 x 2.0
Charleroi,Gent,Jupiler League,2024/2025,2024-08-11,1.0,0.0,H,1.0 x 0.0
Antwerp,St Truiden,Jupiler League,2024/2025,2024-08-11,6.0,1.0,H,6.0 x 1.0
Genk,Club Brugge,Jupiler League,2024/2025,2024-08-11,3.0,2.0,H,3.0 x 2.0
Preußen Münster,Hannover,Bundesliga 2,2024/2025,2024-08-11,0.0,0.0,D,0.0 x 0.0
Paderborn,Darmstadt,Bundesliga 2,2024/2025,2024-08-11,3.0,1.0,H,3.0 x 1.0
Braunschweig,Magdeburg,Bundesliga 2,2024/2025,2024-08-11,1.0,3.0,A,1.0 x 3.0
Famalicao,Benfica,Primeira Liga,2024/2025,2024-08-11,2.0,0.0,H,2.0 x 0.0
Sp Braga,Estrela,Primeira Liga,2024/2025,2024-08-11,1.0,1.0,D,1.0 x 1.0
Samsunspor,Besiktas,Super Lig,2024/2025,2024-08-11,0.0,2.0,A,0.0 x 2.0
Alanyaspor,Eyupspor,Super Lig,2024/2025,2024-08-11,1.0,1.0,D,1.0 x 1.0
Sivasspor,Trabzonspor,Super Lig,2024/2025,2024-08-11,0.0,0.0,D,0.0 x 0.0
Sheffield Weds,Plymouth,EFL Championship,2024/2025,2024-08-11,4.0,0.0,H,4.0 x 0.0
Luton,Burnley,EFL Championship,2024/2025,2024-08-12,1.0,4.0,A,1.0 x 4.0
Arouca,Guimaraes,Primeira Liga,2024/2025,2024-08-12,0.0,1.0,A,0.0 x 1.0
Bodrumspor,Gaziantep,Super Lig,2024/2025,2024-08-12,0.0,1.0,A,0.0 x 1.0
Rizespor,Buyuksehyr,Super Lig,2024/2025,2024-08-12,1.0,1.0,D,1.0 x 1.0
Ath Bilbao,Getafe,LaLiga,2024/2025,2024-08-15,1.0,1.0,D,1.0 x 1.0
Betis,Girona,LaLiga,2024/2025,2024-08-15,1.0,1.0,D,1.0 x 1.0
Granada,Albacete,LaLiga 2,2024/2025,2024-08-15,1.0,2.0,A,1.0 x 2.0
Cadiz,Zaragoza,LaLiga 2,2024/2025,2024-08-16,0.0,4.0,A,0.0 x 4.0
Celta,Alaves,LaLiga,2024/2025,2024-08-16,2.0,1.0,H,2.0 x 1.0
Las Palmas,Sevilla,LaLiga,2024/2025,2024-08-16,2.0,2.0,D,2.0 x 2.0
Mirandes,Cordoba,LaLiga 2,2024/2025,2024-08-16,1.0,0.0,H,1.0 x 0.0
Coventry,Oxford,EFL Championship,2024/2025,2024-08-16,3.0,2.0,H,3.0 x 2.0
Brescia,Palermo,Serie B,2024/2025,2024-08-16,1.0,0.0,H,1.0 x 0.0
Le Havre,Paris SG,Ligue 1,2024/2025,2024-08-16,1.0,4.0,A,1.0 x 4.0
Ajaccio,Rodez,Ligue 2,2024/2025,2024-08-16,1.0,0.0,H,1.0 x 0.0
Amiens,Red Star,Ligue 2,2024/2025,2024-08-16,3.0,0.0,H,3.0 x 0.0
Clermont,Pau FC,Ligue 2,2024/2025,2024-08-16,2.0,2.0,D,2.0 x 2.0
Dunkerque,Annecy,Ligue 2,2024/2025,2024-08-16,0.0,2.0,A,0.0 x 2.0
Grenoble,Laval,Ligue 2,2024/2025,2024-08-16,2.0,1.0,H,2.0 x 1.0
Guingamp,Troyes,Ligue 2,2024/2025,2024-08-16,4.0,0.0,H,4.0 x 0.0
For Sittard,Almere City,Eredivisie,2024/2025,2024-08-16,3.0,0.0,H,3.0 x 0.0
St. Gilloise,Charleroi,Jupiler League,2024/2025,2024-08-16,1.0,0.0,H,1.0 x 0.0
Man United,Fulham,Premier League,2024/2025,2024-08-16,1.0,0.0,H,1.0 x 0.0
Konyaspor,Galatasaray,Super Lig,2024/2025,2024-08-16,1.0,2.0,A,1.0 x 2.0
Santa Clara,Porto,Primeira Liga,2024/2025,2024-08-16,0.0,2.0,A,0.0 x 2.0
Gil Vicente,AVS,Primeira Liga,2024/2025,2024-08-16,4.0,2.0,H,4.0 x 2.0
Sudtirol,Modena,Serie B,2024/2025,2024-08-17,2.0,1.0,H,2.0 x 1.0
Sutton,Altrincham,National League,2024/2025,2024-08-17,5.0,0.0,H,5.0 x 0.0
Wealdstone,Oldham,National League,2024/2025,2024-08-17,0.0,1.0,A,0.0 x 1.0
Woking,Gateshead,National League,2024/2025,2024-08-17,0.0,2.0,A,0.0 x 2.0
York,Tamworth,National League,2024/2025,2024-08-17,2.0,0.0,H,2.0 x 0.0
PAOK,Panserraikos,Superliga,2024/2025,2024-08-17,3.0,2.0,H,3.0 x 2.0
Volos NFC,Olympiakos,Superliga,2024/2025,2024-08-17,0.0,2.0,A,0.0 x 2.0
Caen,Paris FC,Ligue 2,2024/2025,2024-08-17,0.0,2.0,A,0.0 x 2.0
Monaco,St Etienne,Ligue 1,2024/2025,2024-08-17,1.0,0.0,H,1.0 x 0.0
Reims,Lille,Ligue 1,2024/2025,2024-08-17,0.0,2.0,A,0.0 x 2.0
Heerenveen,Utrecht,Eredivisie,2024/2025,2024-08-17,1.0,1.0,D,1.0 x 1.0
Twente,Sparta Rotterdam,Eredivisie,2024/2025,2024-08-17,1.0,1.0,D,1.0 x 1.0
AZ Alkmaar,Nijmegen,Eredivisie,2024/2025,2024-08-17,1.0,0.0,H,1.0 x 0.0
Waalwijk,Groningen,Eredivisie,2024/2025,2024-08-17,1.0,2.0,A,1.0 x 2.0
Brest,Marseille,Ligue 1,2024/2025,2024-08-17,1.0,5.0,A,1.0 x 5.0
Edinburgh City,Bonnyrigg Rose,League Two,2024/2025,2024-08-17,2.0,2.0,D,2.0 x 2.0
Salernitana,Cittadella,Serie B,2024/2025,2024-08-17,2.0,1.0,H,2.0 x 1.0
Pisa,Spezia,Serie B,2024/2025,2024-08-17,2.0,2.0,D,2.0 x 2.0
Bari,Juve Stabia,Serie B,2024/2025,2024-08-17,1.0,3.0,A,1.0 x 3.0
Milan,Torino,Serie A,2024/2025,2024-08-17,2.0,2.0,D,2.0 x 2.0
Empoli,Monza,Serie A,2024/2025,2024-08-17,0.0,0.0,D,0.0 x 0.0
Parma,Fiorentina,Serie A,2024/2025,2024-08-17,1.0,1.0,D,1.0 x 1.0
Swindon,Walsall,EFL League Two,2024/2025,2024-08-17,0.0,4.0,A,0.0 x 4.0
Solihull,Maidenhead,National League,2024/2025,2024-08-17,2.0,1.0,H,2.0 x 1.0
Rochdale,Dag and Red,National League,2024/2025,2024-08-17,1.0,1.0,D,1.0 x 1.0
Hartlepool,Southend,National League,2024/2025,2024-08-17,0.0,0.0,D,0.0 x 0.0
Halifax,Aldershot,National League,2024/2025,2024-08-17,0.0,1.0,A,0.0 x 1.0
East Fife,Forfar,League Two,2024/2025,2024-08-17,2.0,1.0,H,2.0 x 1.0
Clyde,Stirling,League Two,2024/2025,2024-08-17,0.0,2.0,A,0.0 x 2.0
Kayserispor,Sivasspor,Super Lig,2024/2025,2024-08-17,1.0,2.0,A,1.0 x 2.0
Ad. Demirspor,Rizespor,Super Lig,2024/2025,2024-08-17,1.0,2.0,A,1.0 x 2.0
Goztep,Fenerbahce,Super Lig,2024/2025,2024-08-17,2.0,2.0,D,2.0 x 2.0
Watford,Stoke,EFL Championship,2024/2025,2024-08-17,3.0,0.0,H,3.0 x 0.0
Swansea,Preston,EFL Championship,2024/2025,2024-08-17,3.0,0.0,H,3.0 x 0.0
Sheffield United,QPR,EFL Championship,2024/2025,2024-08-17,2.0,2.0,D,2.0 x 2.0
Plymouth,Hull,EFL Championship,2024/2025,2024-08-17,1.0,1.0,D,1.0 x 1.0
Norwich,Blackburn,EFL Championship,2024/2025,2024-08-17,2.0,2.0,D,2.0 x 2.0
Burnley,Cardiff,EFL Championship,2024/2025,2024-08-17,5.0,0.0,H,5.0 x 0.0
Bristol City,Millwall,EFL Championship,2024/2025,2024-08-17,4.0,3.0,H,4.0 x 3.0
West Brom,Leeds,EFL Championship,2024/2025,2024-08-17,0.0,0.0,D,0.0 x 0.0
Portsmouth,Luton,EFL Championship,2024/2025,2024-08-17,0.0,0.0,D,0.0 x 0.0
Derby,Middlesbrough,EFL Championship,2024/2025,2024-08-17,1.0,0.0,H,1.0 x 0.0
Queen of Sth,Annan Athletic,League One,2024/2025,2024-08-17,2.0,0.0,H,2.0 x 0.0
Inverness C,Montrose,League One,2024/2025,2024-08-17,1.0,1.0,D,1.0 x 1.0
Cove Rangers,Dumbarton,League One,2024/2025,2024-08-17,1.0,1.0,D,1.0 x 1.0
Arbroath,Kelty Hearts,League One,2024/2025,2024-08-17,0.0,3.0,A,0.0 x 3.0
Alloa,Stenhousemuir,League One,2024/2025,2024-08-17,1.0,0.0,H,1.0 x 0.0
Ayr,Hamilton,Championship,2024/2025,2024-08-17,3.0,2.0,H,3.0 x 2.0
Boston Utd,Forest Green,National League,2024/2025,2024-08-17,0.0,4.0,A,0.0 x 4.0
Braintree Town,Yeovil,National League,2024/2025,2024-08-17,0.0,1.0,A,0.0 x 1.0
Eastleigh,Fylde,National League,2024/2025,2024-08-17,4.0,2.0,H,4.0 x 2.0
Ebbsfleet,Barnet,National League,2024/2025,2024-08-17,1.0,2.0,A,1.0 x 2.0
Port Vale,Tranmere,EFL League Two,2024/2025,2024-08-17,0.0,0.0,D,0.0 x 0.0
Newport County,Doncaster,EFL League Two,2024/2025,2024-08-17,3.0,1.0,H,3.0 x 1.0
Peterhead,Stranraer,League Two,2024/2025,2024-08-17,1.0,0.0,H,1.0 x 0.0
Grimsby,Cheltenham,EFL League Two,2024/2025,2024-08-17,3.0,2.0,H,3.0 x 2.0
Blackpool,Stockport,EFL League One,2024/2025,2024-08-17,0.0,3.0,A,0.0 x 3.0
Reading,Wigan,EFL League One,2024/2025,2024-08-17,2.0,0.0,H,2.0 x 0.0
Northampton,Exeter,EFL League One,2024/2025,2024-08-17,2.0,1.0,H,2.0 x 1.0
Mansfield,Burton,EFL League One,2024/2025,2024-08-17,3.0,3.0,D,3.0 x 3.0
Charlton,Leyton Orient,EFL League One,2024/2025,2024-08-17,1.0,0.0,H,1.0 x 0.0
Shrewsbury,Peterboro,EFL League One,2024/2025,2024-08-17,1.0,4.0,A,1.0 x 4.0
Lincoln,Barnsley,EFL League One,2024/2025,2024-08-17,1.0,2.0,A,1.0 x 2.0
Huddersfield,Stevenage,EFL League One,2024/2025,2024-08-17,2.0,1.0,H,2.0 x 1.0
Mechelen,Anderlecht,Jupiler League,2024/2025,2024-08-17,1.0,3.0,A,1.0 x 3.0
St Truiden,Dender,Jupiler League,2024/2025,2024-08-17,3.0,3.0,D,3.0 x 3.0
Beerschot VA,Genk,Jupiler League,2024/2025,2024-08-17,3.0,4.0,A,3.0 x 4.0
Everton,Brighton,Premier League,2024/2025,2024-08-17,0.0,3.0,A,0.0 x 3.0
Newcastle,Southampton,Premier League,2024/2025,2024-08-17,1.0,0.0,H,1.0 x 0.0
Nott'm Forest,Bournemouth,Premier League,2024/2025,2024-08-17,1.0,1.0,D,1.0 x 1.0
West Ham,Aston Villa,Premier League,2024/2025,2024-08-17,1.0,2.0,A,1.0 x 2.0
Morecambe,Gillingham,EFL League Two,2024/2025,2024-08-17,0.0,1.0,A,0.0 x 1.0
Benfica,Casa Pia,Primeira Liga,2024/2025,2024-08-17,3.0,0.0,H,3.0 x 0.0
Nacional,Sp Lisbon,Primeira Liga,2024/2025,2024-08-17,1.0,6.0,A,1.0 x 6.0
Rio Ave,Farense,Primeira Liga,2024/2025,2024-08-17,1.0,0.0,H,1.0 x 0.0
Wycombe,Birmingham,EFL League One,2024/2025,2024-08-17,2.0,3.0,A,2.0 x 3.0
Eibar,Castellon,LaLiga 2,2024/2025,2024-08-17,1.0,0.0,H,1.0 x 0.0
Rotherham,Bristol Rvs,EFL League One,2024/2025,2024-08-17,0.0,0.0,D,0.0 x 0.0
Cambridge,Crawley Town,EFL League One,2024/2025,2024-08-17,0.0,1.0,A,0.0 x 1.0
La Coruna,Oviedo,LaLiga 2,2024/2025,2024-08-17,0.0,1.0,A,0.0 x 1.0
Crewe,Chesterfield,EFL League Two,2024/2025,2024-08-17,0.0,5.0,A,0.0 x 5.0
Colchester,Milton Keynes Dons,EFL League Two,2024/2025,2024-08-17,2.0,0.0,H,2.0 x 0.0
Ipswich,Liverpool,Premier League,2024/2025,2024-08-17,0.0,2.0,A,0.0 x 2.0
Valencia,Barcelona,LaLiga,2024/2025,2024-08-17,1.0,2.0,A,1.0 x 2.0
Osasuna,Leganes,LaLiga,2024/2025,2024-08-17,1.0,1.0,D,1.0 x 1.0
Genoa,Inter,Serie A,2024/2025,2024-08-17,2.0,2.0,D,2.0 x 2.0
Bromley,AFC Wimbledon,EFL League Two,2024/2025,2024-08-17,2.0,0.0,H,2.0 x 0.0
Bradford,Salford,EFL League Two,2024/2025,2024-08-17,0.0,0.0,D,0.0 x 0.0
Accrington,Harrogate,EFL League Two,2024/2025,2024-08-17,3.0,3.0,D,3.0 x 3.0
Carlisle,Barrow,EFL League Two,2024/2025,2024-08-17,1.0,0.0,H,1.0 x 0.0
Ferrol,Malaga,LaLiga 2,2024/2025,2024-08-17,2.0,2.0,D,2.0 x 2.0
